obec,okres,obyvatel,strana,pct
Hrádek nad Nisou,Liberec,7656,Hrádek potřebuje změny!,82.73
Janovice nad Úhlavou,Klatovy,2227,JANOVICKO,81.88
Hroznětín,Karlovy Vary,2026,Sdružení nezávislých kandidátů I.,76.33
Lány,Kladno,2112,SPOLEČNĚ PRO LÁNY A VAŠÍROV,73.38
Praha 16,Hlavní město Praha,8524,Občanská demokratická strana,72.36
Chýně,Praha-západ,2963,ESO Chýně - Efektivní Správa Obce,72.01
Chodov,Sokolov,13547,HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,71.63
Velký Týnec,Olomouc,2887,Nestraníci,70.52
Zákupy,Česká Lípa,2845,Nezávislé moderní Zákupy s podporou Nájemníků obecních bytů,70.35
Liberec-Vratislavice nad Nisou,Liberec,8554,Starostové pro Liberecký kraj,70.19
Krásná Lípa,Děčín,3458,Sdružení 2018,67.59
Nehvizdy,Praha-východ,3094,ZA LEPŠÍ ŽIVOT V NEHVIZDECH,66.85
Praha-Suchdol,Hlavní město Praha,7151,"""SDRUŽENÍ OBČANŮ SUCHDOLA (SOS)""",66.5
Frýdlant nad Ostravicí,Frýdek-Místek,9940,PRO FRÝDLANT,65.96
Horní Suchá,Karviná,4464,Sdružení nezávislých kandidátů Horní Suchá,65.55
Tuchlovice,Kladno,2523,STAROSTOVÉ A NEZÁVISLÍ,65.36
Brno-Žebětín,Brno-město,4516,KDU-ČSL a nezávislí kandidáti,65.21
Slavkov,Opava,2013,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ SLAVKOVA,64.94
Sokolnice,Brno-venkov,2357,Sokol Sokolnice,64.61
Luštěnice,Mladá Boleslav,2209,STAROSTOVÉ A NEZÁVISLÍ,64.13
Pacov,Pelhřimov,4823,SDRUŽENÍ PRO ROZVOJ A PROSPERITU PACOVSKA,63.95
Nýřany,Plzeň-sever,7002,Sdružení nezávislých kandidátů Nýřany 2018,63.23
Buštěhrad,Kladno,3407,"""SPOLEČNĚ""",63.16
Novosedlice,Teplice,2134,NOVOSEDLICE - DOBRÁ ADRESA,63.09
Kolín,Kolín,31355,ZMĚNA PRO KOLÍN,62.82
Velké Přílepy,Praha-západ,3400,TRADICE - BUDOUCNOST,62.51
Praha-Kolovraty,Hlavní město Praha,3785,NAŠE KOLOVRATY,62.41
Praha-Běchovice,Hlavní město Praha,2668,Občanská demokratická strana,62.4
Dobšice,Znojmo,2438,"""Sdružení nestraníků""",62.23
Praha 19,Hlavní město Praha,7156,Sdružení nezávislých kandidátů: Kbely náš domov,62.09
Rtyně v Podkrkonoší,Trutnov,3017,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ,61.98
Praha-Nebušice,Hlavní město Praha,3380,STAROSTOVÉ A NEZÁVISLÍ,61.81
Ždírec nad Doubravou,Havlíčkův Brod,3126,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ ŽDÍREC NAD DOUBRAVOU,61.81
Praha-Zličín,Hlavní město Praha,6634,Pro Zličín a Sobín,61.79
Dolní Kounice,Brno-venkov,2441,KOUNICE PRO VŠECHNY,61.44
Plzeň 5-Křimice,Plzeň-město,2111,PLZEŇSKÁ ALIANCE KŘIMICE s podporou STAN a TOP09,61.24
Rajhrad,Brno-venkov,3833,Sdružení nezávislých kandidátů - RAJHRAĎÁCI,60.89
Mnichovo Hradiště,Mladá Boleslav,8684,ŽIJEME PRO HRADIŠTĚ,60.71
Suchdol nad Odrou,Nový Jičín,2637,"""SUCHDOL NAD ODROU- MÍSTO PRO ŽIVOT""",60.62
Opatovice nad Labem,Pardubice,2556,OPATOVICE PODLE VÁS,60.57
Vrchlabí,Trutnov,12494,Z V O N,60.24
Lovosice,Litoměřice,8772,ANO 2011,59.91
Veverská Bítýška,Brno-venkov,3198,"""Veverská Bítýška - obec nás všech""",59.62
Chrastava,Liberec,6224,Starostové pro Liberecký kraj,59.5
Václavovice,Ostrava-město,2004,Sdružení nezávislých kandidátů Václavovice,58.91
Štěpánkovice,Opava,3236,Sdružení nezávislých kandidátů - Za prosperitu Štěpánkovic,58.65
Mukařov,Praha-východ,2526,"Sdružení kandidátů Mukařov, Srbín, Žernovka",58.62
Rychnov u Jablonce nad Nisou,Jablonec nad Nisou,2744,Rychnováci,58.29
Rohatec,Hodonín,3514,Rozvoj obce Rohatec,58.27
Sezimovo Ústí,Tábor,7233,Zelená pro město,58
Nové Hrady,České Budějovice,2524,Občané pro zdravé město,57.79
Praha-Kunratice,Hlavní město Praha,9745,"""Hnutí Praha-Kunratice"" s podporou Starostů a nezávislých",57.7
Čelákovice,Praha-východ,12207,Občanská demokratická strana,57.62
Praha-Ďáblice,Hlavní město Praha,3615,STAROSTOVÉ A NEZÁVISLÍ,57.52
Bašť,Praha-východ,2522,SNK Pro Bašť,57.35
Horažďovice,Klatovy,5344,ObčanéHD,57.32
Nivnice,Uherské Hradiště,3384,Česká strana sociálně demokratická,57.18
Kelč,Vsetín,2678,Kelč 2000,57.17
Velká Bystřice,Olomouc,3295,"Sdružení nezávislých kandidátů ""ZA PŘÍJEMNÝ ŽIVOT""",57.13
Bohumín,Karviná,20761,Česká strana sociálně demokratická,57.12
Košťany,Teplice,3147,NAŠE KOŠŤANY A STŘELNÁ,57.09
Nýrsko,Klatovy,4930,VOLBA PRO NÝRSKO A SPÁDOVÉ OBCE,56.77
Staňkov,Domažlice,3338,Volba pro Staňkov,56.76
Zruč-Senec,Plzeň-sever,3252,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ OBCE ZRUČ - SENEC 2018,56.52
Kaznějov,Plzeň-sever,3075,Nezávislí pro Kaznějov,56.49
Horní Jiřetín,Most,2237,Sdružení Strany zelených a nezávislých kandidátů,56.47
Průhonice,Praha-západ,2820,"Nezávislí pro budoucnost Průhonic, Hole a Rozkoše",56.45
Stod,Plzeň-jih,3613,VOLBA PRO STOD,55.67
Praha-Dolní Měcholupy,Hlavní město Praha,2993,"Sdružení ODS, TOP 09 a nezávislých kandidátů",55.57
Lomnice nad Popelkou,Semily,5553,Nezávislí kandidáti Lomnicka,55.5
Praha 7,Hlavní město Praha,44034,PRAHA 7 SOBĚ,55.48
Proseč,Chrudim,2076,ZA LEPŠÍ PROSEČ,55.4
Brno-Medlánky,Brno-město,5327,Občané pro Medlánky,55.1
Zastávka,Brno-venkov,2539,Máme rádi Zastávku,54.86
Petrovice u Karviné,Karviná,5410,Česká strana sociálně demokratická,54.54
Trojanovice,Nový Jičín,2592,NAŠE BESKYDY - sdružení nezávislých kandidátů,54.46
Chlumčany,Plzeň-jih,2379,""" PRO ROZVOJ OBCE CHLUMČANY """,54.16
Bělkovice-Lašťany,Olomouc,2295,Občané pro občany Bělkovice-Lašťany,54.13
Bolatice,Opava,4462,Společně pro Bolatice a Borovou,53.83
Velké Hamry,Jablonec nad Nisou,2670,HAMROVÁCI 2010,53.53
Praha-Satalice,Hlavní město Praha,2515,STAROSTOVÉ A NEZÁVISLÍ,53.52
Milín,Příbram,2136,Volba pro Milín,53.4
České Velenice,Jindřichův Hradec,3465,Veleničtí nezávislí,52.54
Kunštát,Blansko,2757,Česká strana sociálně demokratická,52.35
Králův Dvůr,Beroun,8887,Občanská demokratická strana,52.34
Horní Bludovice,Karviná,2385,NEZÁVISLÍ - Horní Bludovice,52.28
Kadaň,Chomutov,18015,Občanská demokratická strana,52.22
Zdounky,Kroměříž,2119,Sdružení nezávislých kandidátů obce Zdounky,52.21
Kamenný Újezd,České Budějovice,2352,Občanská demokratická strana,52.16
Říčany,Praha-východ,15448,Klidné město,52.13
Šenov u Nového Jičína,Nový Jičín,2086,Česká strana sociálně demokratická,51.9
Hodkovice nad Mohelkou,Liberec,2888,BUDOUCNOST PRO HODKOVICE,51.88
Jiříkov,Děčín,3648,NEZÁVISLÍ KANDIDÁTI MĚSTA JIŘÍKOVA,51.62
Desná,Jablonec nad Nisou,3134,Sdružení pro DESNOU,51.62
Polešovice,Uherské Hradiště,2019,SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ POLEŠOVICE,51.42
Letohrad,Ústí nad Orlicí,6315,Sdružení pro Letohradsko,51.32
Praha-Zbraslav,Hlavní město Praha,9930,100pro Zbraslav,51.17
Strakonice,Strakonice,22888,Strakonická Veřejnost,51.15
Dobřany,Plzeň-jih,6175,",,Aktivní Dobřany""",51.03
Polanka nad Odrou,Ostrava-město,4991,Sdružení nezávislých kandidátů Polanka nad Odrou,50.65
Solnice,Rychnov nad Kněžnou,2194,Sdružení nezávislých kandidátů Solnice,50.53
Třemošnice,Chrudim,3070,SNK Evropští demokraté,50.49
Svatobořice-Mistřín,Hodonín,3548,Sdružení nezávislých kandidátů Svatobořice-Mistřín,50.13
Nová Bystřice,Jindřichův Hradec,3309,Česká strana sociálně demokratická,50.12
Strašice,Rokycany,2534,Občanská demokratická strana,50.08
