NSTRANA,pocet14,ZKRATKAN8,pocet18,NAZEV_STRN,ZKRATKAN30,zisk,zisk_pct
7,3806,ČSSD,1955,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,-1851,51.366263794009456
47,2564,KSČM,1470,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,-1094,57.33229329173167
721,868,TOP 09,484,TOP 09,TOP 09,-384,55.76036866359447
1,3996,KDU-ČSL,3645,Křesťan.a demokrat.unie-Českosl.strana lidová,Křesť.demokr.unie-Čs.str.lid.,-351,91.21621621621621
129,383,SNK ED,230,SNK Evropští demokraté,SNK Evropští demokraté,-153,60.052219321148826
113,153,VPM,47,Volba pro město,Volba pro město,-106,30.718954248366014
791,60,HPP,27,Pro Prahu,Pro Prahu,-33,45
83,67,Moravané,42,Moravané,Moravané,-25,62.68656716417911
88,235,NEZ,213,NEZÁVISLÍ,NEZÁVISLÍ,-22,90.63829787234042
163,38,NV,23,NEZÁVISLÁ VOLBA,NEZÁVISLÁ VOLBA,-15,60.526315789473685
143,34,SD-SN,21,Spojení demokraté - Sdružení nezávislých,Spojení demokraté-Sdruž.nezáv.,-13,61.76470588235294
771,25,Změna,13,politické hnutí Změna,politické hnutí Změna,-12,52
77,15,ČP,4,Česká pravice,Česká pravice,-11,26.666666666666668
755,55,Ostravak,45,Ostravak,Ostravak,-10,81.81818181818183
1026,15,ŽTB,5,"""Žít Brno""","""Žít Brno""",-10,33.33333333333333
770,27,VČ,18,VÝCHODOČEŠI,VÝCHODOČEŠI,-9,66.66666666666666
756,9,ČSR,1,Česká strana regionů,Česká strana regionů,-8,11.11111111111111
103,22,SOS,15,Strana pro otevřenou společnost,Str.pro otevřenou společnost,-7,68.18181818181817
119,29,USZ,23,Unie pro sport a zdraví,Unie pro sport a zdraví,-6,79.3103448275862
24,8,KONS,2,Konzervativní strana,Konzervativní strana,-6,25
195,18,HPP 11,13,Hnutí pro Prahu 11,Hnutí pro Prahu 11,-5,72.22222222222221
1049,12,HDK,7,Hradecký demokratický klub,Hradecký demokratický klub,-5,58.333333333333336
1002,6,Republika,1,Republika,Republika,-5,16.666666666666664
775,13,ZVUK 12,9,ZVUK 12,ZVUK 12,-4,69.23076923076923
182,9,KOA,5,Karlovarská občanská alternativa,Karlovar.občanská alternativa,-4,55.55555555555556
136,8,T2020,6,Tábor 2020,Tábor 2020,-2,75
773,7,S2012,5,Středočeši2012.cz,Středočeši2012.cz,-2,71.42857142857143
795,7,LES,5,Liberálně ekologická strana,Liberálně ekologická strana,-2,71.42857142857143
1055,5,ŠpD,3,Šance pro Duchcov,Šance pro Duchcov,-2,60
156,4,DSSS,2,Dělnická strana sociální spravedlnosti,Dělnic.str.sociální spravedl.,-2,50
1036,4,MPV,2,Město pro vás,Město pro vás,-2,50
1053,4,VvD,2,Volyně v dolyně,Volyně v dolyně,-2,50
726,3,NI,1,Nový Impuls,Nový Impuls,-2,33.33333333333333
72,33,COEX,32,COEXISTENTIA,COEXISTENTIA,-1,96.96969696969697
190,7,OHMO,6,Mimoňská obroda,Mimoňská obroda,-1,85.71428571428571
183,3,AO,2,Alternativa pro občany,Alternativa pro občany,-1,66.66666666666666
741,2,HNVRS,1,Hnutí nezávislých za všestranný rozvoj Slatiny,Hn.nez.za všestr.rozv.Slatiny,-1,50
759,2,ČS,1,Česká Suverenita,Česká Suverenita,-1,50
753,7,HOPB,7,Občané pro Budějovice,Občané pro Budějovice,0,100
728,3,ProTR,3,Pro Třebíč,Pro Třebíč,0,100
1009,3,JM-ND,3,Jižní Město - náš domov,Jižní Město - náš domov,0,100
738,2,Jundrováci,2,Jundrováci,Jundrováci,0,100
739,2,KPP,2,Královopolští patrioti,Královopolští patrioti,0,100
1018,1,PHV,1,Politické Hnutí Vítkovice,Politické Hnutí Vítkovice,0,100
179,6,Sedma,7,Sedma-strana pro obec Slatiňany a její osady,Sedma-str.pro obec Slatiňany,1,116.66666666666667
193,5,VpMB,6,Volba pro Mladou Boleslav,Volba pro Mladou Boleslav,1,120
1030,5,Podpora,6,Podpora občanů,Podpora občanů,1,120
1020,4,PV,5,Pévéčko,Pévéčko,1,125
114,3,HPH,4,Hnutí pro Havířov,Hnutí pro Havířov,1,133.33333333333331
1065,3,PZ,4,PROZMĚNU,PROZMĚNU,1,133.33333333333331
780,2,NBPLK,3,Nová budoucnost pro Liberecký kraj,Nová budoucn.pro Liberecký kr.,1,150
782,1,FairPlay,2,Hnutí FAIR PLAY,Hnutí FAIR PLAY,1,200
137,4,Rozumní,6,ROZUMNÍ,ROZUMNÍ,2,150
715,3,DSZ,5,Demokratická strana zelených,Demokratická strana zelených,2,166.66666666666669
55,1,KČ,3,"Koruna Česká (monarch.str.Čech, Moravy a Slezska)",Koruna Česká (monarch.strana),2,300
731,1,ŽB,3,Ženy za Brod,Ženy za Brod,2,300
703,145,SLK,148,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,3,102.06896551724138
727,10,VPK,13,VOLBA PRO KLADNO,VOLBA PRO KLADNO,3,130
1028,5,KVC,8,Karlovaráci,Karlovaráci,3,160
1017,16,NS,20,NOVÝ SEVER,NOVÝ SEVER,4,125
2,9,ČSNS,13,Česká strana národně sociální,Česká strana národně sociální,4,144.44444444444443
799,6,NMFM,10,Naše město F-M,Naše město F-M,4,166.66666666666669
86,3,IO,7,Iniciativa občanů,Iniciativa občanů,4,233.33333333333334
1039,2,ProOl,6,ProOlomouc,ProOlomouc,4,300
790,20,PPL,25,Pardubice pro lidi,Pardubice pro lidi,5,125
147,12,ML,17,MĚSTO LIDEM,MĚSTO LIDEM,5,141.66666666666669
734,7,OMMO,12,"Občané městu, město občanům","Občané městu, město občanům",5,171.42857142857142
788,5,OČR,10,Občané České republiky,Občané České republiky,5,200
797,3,Z21,8,Zlín 21,Zlín 21,5,266.66666666666663
112,140,HNHRM,146,HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST,HN.ZA HARM.ROZVOJ OBCÍ A MĚST,6,104.28571428571429
1031,9,SOL,15,Hnutí SOL,Hnutí SOL,6,166.66666666666669
1024,34,Hora 2014,42,Otevřená radnice,Otevřená radnice,8,123.52941176470588
1012,6,UFO,14,ÚSTECKÉ FÓRUM OBČANŮ,ÚSTECKÉ FÓRUM OBČANŮ,8,233.33333333333334
742,7,SV,16,Strakonická Veřejnost,Strakonická Veřejnost,9,228.57142857142856
766,46,JIH 12,57,JIHOČEŠI 2012,JIHOČEŠI 2012,11,123.91304347826086
776,6,PATRIOTI,18,PATRIOTI,PATRIOTI,12,300
714,71,Svobodní,84,Strana svobodných občanů,Strana svobodných občanů,13,118.30985915492957
704,2,S.cz,15,Severočeši.cz,Severočeši.cz,13,750
181,214,Nestran.,231,Nestraníci,Nestraníci,17,107.94392523364486
779,31,STO,56,Starostové pro občany,Starostové pro občany,25,180.64516129032256
768,1610,ANO,1684,ANO 2011,ANO 2011,74,104.59627329192547
53,2398,ODS,2600,Občanská demokratická strana,Občanská demokratická strana,202,108.42368640533778
720,29,Piráti,358,Česká pirátská strana,Česká pirátská strana,329,1234.4827586206898
166,2192,STAN,2601,STAROSTOVÉ A NEZÁVISLÍ,STAROSTOVÉ A NEZÁVISLÍ,409,118.65875912408758
80,41460,NK,44365,Nezávislý kandidát,Nezávislý kandidát,2905,107.00675349734684
158,340,SN,NA,NA,NA,NA,NA
5,266,SZ,NA,NA,NA,NA,NA
792,63,Úsvit,NA,NA,NA,NA,NA
724,43,SPO,NA,NA,NA,NA,NA
785,41,PSZ,NA,NA,NA,NA,NA
167,30,HNPD,NA,NA,NA,NA,NA
1022,17,OPAT,NA,NA,NA,NA,NA
155,16,DOMOV,NA,NA,NA,NA,NA
716,15,SsČR,NA,NA,NA,NA,NA
793,15,NOS,NA,NA,NA,NA,NA
764,14,LEV 21,NA,NA,NA,NA,NA
144,12,VV,NA,NA,NA,NA,NA
737,11,ČNEZ,NA,NA,NA,NA,NA
702,10,ALTERNATIVA,NA,NA,NA,NA,NA
769,9,VIZE,NA,NA,NA,NA,NA
718,8,Občané,NA,NA,NA,NA,NA
175,7,ČSNS2005,NA,NA,NA,NA,NA
161,6,SvOS,NA,NA,NA,NA,NA
747,6,B10.cz,NA,NA,NA,NA,NA
1040,6,JSNS,NA,NA,NA,NA,NA
1042,6,HPK,NA,NA,NA,NA,NA
142,5,SZSP,NA,NA,NA,NA,NA
745,5,BSD,NA,NA,NA,NA,NA
200,4,DK,NA,NA,NA,NA,NA
774,4,PRO,NA,NA,NA,NA,NA
796,4,Ú,NA,NA,NA,NA,NA
1013,4,Obroda,NA,NA,NA,NA,NA
733,3,VO,NA,NA,NA,NA,NA
757,3,SNH,NA,NA,NA,NA,NA
1005,3,evropani,NA,NA,NA,NA,NA
732,2,NH,NA,NA,NA,NA,NA
735,2,N-BÍLINA,NA,NA,NA,NA,NA
743,2,OCJJ,NA,NA,NA,NA,NA
749,2,KA14,NA,NA,NA,NA,NA
752,2,ZH,NA,NA,NA,NA,NA
1004,2,VPP,NA,NA,NA,NA,NA
1011,2,TOR,NA,NA,NA,NA,NA
1014,2,OPL,NA,NA,NA,NA,NA
1027,2,OF,NA,NA,NA,NA,NA
1043,2,NPP10-HPLD,NA,NA,NA,NA,NA
79,1,ND,NA,NA,NA,NA,NA
98,1,PB,NA,NA,NA,NA,NA
123,1,ČHNJ,NA,NA,NA,NA,NA
145,1,J 21 S,NA,NA,NA,NA,NA
172,1,NEZ/DEM,NA,NA,NA,NA,NA
188,1,PSS,NA,NA,NA,NA,NA
197,1,NO!,NA,NA,NA,NA,NA
761,1,SPE,NA,NA,NA,NA,NA
1006,1,O.K. strana,NA,NA,NA,NA,NA
1010,1,HSS,NA,NA,NA,NA,NA
1025,1,TnT,NA,NA,NA,NA,NA
1034,1,SPOS,NA,NA,NA,NA,NA
1047,1,SPOLEHNUTÍ,NA,NA,NA,NA,NA
1052,1,R2014,NA,NA,NA,NA,NA
1056,1,HOP,NA,NA,NA,NA,NA
